time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
27439;A;5;17,142857142857142;17,142857142857142;12,0;0,9022394220846233;29,14233333333333;32,3;0,7722222222222223
27439;A;7;17,142857142857142;17,142857142857142;10,0;0,9089102564102566;47,26333333333334;52,0;0,7722222222222223
27439;A;8;17,142857142857142;17,142857142857142;15,0;0,48;36,0;75,0;
27600;U;0;17,142857142857142;17,142857142857142;11,0;0,7811170688114387;29,135666666666662;37,3;0,7666666666666666
27600;U;2;17,142857142857142;17,142857142857142;13,0;0,685925925925926;51,44444444444445;75,0;0,7666666666666666
27600;U;3;17,142857142857142;17,142857142857142;9,0;0,8607442869909356;32,1057619047619;37,3;0,7666666666666666
27600;U;4;17,142857142857142;17,142857142857142;14,0;0,6363949088407292;20,555555555555554;32,3;0,7666666666666666
27600;U;5;17,142857142857142;17,142857142857142;12,0;0,9259752321981424;29,908999999999995;32,3;0,7666666666666666
27600;U;7;17,142857142857142;17,142857142857142;10,0;0,9236538461538463;48,03000000000001;52,0;0,7666666666666666
27600;U;8;17,142857142857142;17,142857142857142;15,0;0,4902222222222222;36,766666666666666;75,0;0,7666666666666666
27900;U;0;17,142857142857142;17,142857142857142;11,0;0,8194165709179113;30,56423809523809;37,3;1,4285714285714284
27900;U;2;17,142857142857142;17,142857142857142;13,0;0,704973544973545;52,87301587301588;75,0;1,4285714285714284
27900;U;3;17,142857142857142;17,142857142857142;9,0;0,8990437890974083;33,53433333333333;37,3;1,4285714285714284
27900;U;4;17,142857142857142;17,142857142857142;14,0;0,6806231264435598;21,98412698412698;32,3;1,4285714285714284
27900;U;5;17,142857142857142;17,142857142857142;12,0;0,970203449800973;31,337571428571422;32,3;1,4285714285714284
27900;U;7;17,142857142857142;17,142857142857142;10,0;0,9511263736263739;49,45857142857144;52,0;1,4285714285714284
27900;U;8;17,142857142857142;17,142857142857142;15,0;0,5092698412698413;38,195238095238096;75,0;1,4285714285714284
28200;U;0;20,0;20,0;11,0;0,8577160730243839;31,992809523809516;37,3;1,4285714285714284
28200;U;2;20,0;20,0;13,0;0,7240211640211641;54,30158730158731;75,0;1,4285714285714284
